ID,主要编码,疾病名称,std-cut
I10A00000,A00.000,古典生物型霍乱,"['古典', '生物', '型', '霍乱']"
I10A00100,A00.100,埃尔托型霍乱,"['埃尔托', '型', '霍乱']"
I10A00900,A00.900,霍乱,['霍乱']
I10A01000,A01.000,伤寒,['伤寒']
I10A01001,A01.001+,伤寒性肝炎,"['伤寒', '性肝炎']"
I10A01002,A01.002+,伤寒性脑膜炎,"['伤寒', '脑膜炎']"
I10A01003,A01.003,伤寒杆菌性败血症,"['伤寒杆菌', '败血症']"
I10A01100,A01.100,副伤寒甲,"['副伤寒', '甲']"
I10A01200,A01.200,副伤寒乙,"['副伤寒', '乙']"
I10A01300,A01.300,副伤寒丙,"['副伤寒', '丙']"
I10A01400,A01.400,副伤寒,['副伤寒']
I10A02000,A02.000,沙门菌肠炎,"['沙门', '菌', '肠炎']"
I10A02001,A02.001,阿哥拉沙门菌肠炎,"['阿哥拉沙门菌', '肠炎']"
I10A02002,A02.002,沙门菌伦敦血清型肠炎,"['沙门', '菌', '伦敦', '血清型', '肠炎']"
I10A02003,A02.003,沙门菌胃肠炎,"['沙门', '菌', '胃肠炎']"
I10A02004,A02.004,鼠伤寒沙门菌肠炎,"['鼠', '伤寒', '沙门', '菌', '肠炎']"
I10A02100,A02.100,沙门菌败血症,"['沙门', '菌', '败血症']"
I10A02101,A02.101,猪霍乱沙门菌败血症,"['猪霍乱', '沙门', '菌', '败血症']"
I10A02200,A02.200,局限性沙门菌感染,"['局限性', '沙门', '菌', '感染']"
I10A02201,A02.201+,沙门菌肺炎,"['沙门', '菌', '肺炎']"
I10A02202,A02.202+,沙门菌关节炎,"['沙门', '菌', '关节炎']"
I10A02203,A02.203+,沙门菌脑膜炎,"['沙门', '菌', '脑膜炎']"
I10A02800,A02.800,特指沙门菌感染,"['特指', '沙门', '菌', '感染']"
I10A02900,A02.900,沙门菌感染,"['沙门', '菌', '感染']"
I10A02901,A02.901,猪霍乱沙门菌感染,"['猪霍乱', '沙门', '菌', '感染']"
I10A03000,A03.000,志贺痢疾杆菌引起细菌性痢疾,"['志贺', '痢疾杆菌', '引起', '细菌性痢疾']"
I10A03100,A03.100,弗氏志贺菌引起细菌性痢疾,"['弗氏', '志贺菌', '引起', '细菌性痢疾']"
I10A03101,A03.101,福氏志贺菌细菌性痢疾,"['福氏', '志贺菌', '细菌性痢疾']"
I10A03200,A03.200,波氏志贺菌引起细菌性痢疾,"['波氏', '志贺菌', '引起', '细菌性痢疾']"
I10A03201,A03.201,鲍氏志贺菌细菌性痢疾,"['鲍氏', '志贺菌', '细菌性痢疾']"
I10A03300,A03.300,宋内志贺菌引起细菌性痢疾,"['宋内', '志贺菌', '引起', '细菌性痢疾']"
I10A03800,A03.800,特指细菌性痢疾,"['特指', '细菌性痢疾']"
I10A03900,A03.900,细菌性痢疾,['细菌性痢疾']
I10A03901,A03.901,急性细菌性痢疾,"['急性', '细菌性痢疾']"
I10A03902,A03.902,慢性迁延型细菌性痢疾,"['慢性', '迁延', '型', '细菌性痢疾']"
I10A03903,A03.903,慢性细菌性痢疾,"['慢性', '细菌性痢疾']"
I10A03904,A03.904,中毒型细菌性痢疾,"['中毒', '型', '细菌性痢疾']"
I10A04000,A04.000,肠道病原性大肠杆菌感染,"['肠道', '病原', '大肠杆菌', '感染']"
I10A04100,A04.100,肠毒性大肠杆菌感染,"['肠', '毒性', '大肠杆菌', '感染']"
I10A04200,A04.200,肠侵袭性大肠杆菌感染,"['肠', '侵袭', '大肠杆菌', '感染']"
I10A04300,A04.300,肠出血性大肠杆菌感染,"['肠', '出血性', '大肠杆菌', '感染']"
I10A04301,A04.301,新生儿肠出血性大肠杆菌肠炎,"['新生儿', '肠', '出血性', '大肠杆菌', '肠炎']"
I10A04400,A04.400,特指肠道大肠杆菌感染,"['特指', '肠道', '大肠杆菌', '感染']"
I10A04401,A04.401,大肠杆菌性肠炎,"['大肠杆菌', '肠炎']"
I10A04402,A04.402,新生儿大肠杆菌肠炎,"['新生儿', '大肠杆菌', '肠炎']"
I10A04500,A04.500,弯曲菌肠炎,"['弯曲', '菌', '肠炎']"
I10A04600,A04.600,小肠结肠耶尔森菌性小肠炎,"['小肠', '结肠', '耶尔森', '菌性', '小', '肠炎']"
I10A04700,A04.700,艰难梭状芽胞杆菌性小肠结肠炎,"['艰难', '梭状芽胞', '杆菌', '小肠', '结肠炎']"
I10A04800,A04.800,特指细菌性肠道感染,"['特指', '细菌性', '肠道', '感染']"
I10A04801,A04.801,变形杆菌肠炎,"['变形杆菌', '肠炎']"
I10A04802,A04.802,绿脓杆菌肠炎,"['绿脓杆菌', '肠炎']"
I10A04803,A04.803,厌氧菌肠炎,"['厌氧菌', '肠炎']"
I10A04900,A04.900,细菌性肠道感染,"['细菌性', '肠道', '感染']"
I10A04901,A04.901,细菌性结肠炎,"['细菌性', '结肠炎']"
I10A04902,A04.902,细菌性腹泻,"['细菌性', '腹泻']"
I10A05000,A05.000,食物媒介葡萄球菌食物中毒,"['食物', '媒介', '葡萄球菌', '食物中毒']"
I10A05001,A05.001,食源性葡萄球菌食物中毒,"['食源性', '葡萄球菌', '食物中毒']"
I10A05100,A05.100,肉毒中毒,"['肉毒', '中毒']"
I10A05200,A05.200,食物媒介产气荚膜梭状芽胞杆菌食物中毒,"['食物', '媒介', '产气', '荚膜', '梭状芽胞', '杆菌', '食物中毒']"
I10A05201,A05.201,产气荚膜梭状芽胞杆菌食物中毒,"['产气', '荚膜', '梭状芽胞', '杆菌', '食物中毒']"
I10A05202,A05.202,急性坏死性肠炎,"['急性', '坏死性', '肠炎']"
I10A05300,A05.300,食物媒介副溶血性弧菌食物中毒,"['食物', '媒介', '副', '溶血性', '弧菌', '食物中毒']"
I10A05301,A05.301,食源性副溶血性弧菌食物中毒,"['食源性', '副', '溶血性', '弧菌', '食物中毒']"
I10A05400,A05.400,食物媒介蜡样芽胞杆菌食物中毒,"['食物', '媒介', '蜡样', '芽胞', '杆菌', '食物中毒']"
I10A05401,A05.401,食源性蜡样芽胞杆菌食物中毒,"['食源性', '蜡样', '芽胞', '杆菌', '食物中毒']"
I10A05800,A05.800,特指细菌性食物中毒,"['特指', '细菌性', '食物中毒']"
I10A05900,A05.900,细菌性食物中毒,"['细菌性', '食物中毒']"
I10A06000,A06.000,急性阿米巴痢疾,"['急性', '阿米巴', '痢疾']"
I10A06001,A06.001,阿米巴结肠炎,"['阿米巴', '结肠炎']"
I10A06002,A06.002,阿米巴痢疾,"['阿米巴', '痢疾']"
I10A06100,A06.100,慢性肠阿米巴病,"['慢性', '肠', '阿米巴病']"
I10A06200,A06.200,阿米巴非痢疾性结肠炎,"['阿米巴', '非', '痢疾', '结肠炎']"
I10A06300,A06.300,肠道阿米巴瘤,"['肠道', '阿米巴', '瘤']"
I10A06400,A06.400,阿米巴肝脓肿,"['阿米巴', '肝', '脓肿']"
I10A06500,A06.500+,阿米巴肺脓肿,"['阿米巴', '肺脓肿']"
I10A06501,A06.501+,阿米巴肝肺脓肿,"['阿米巴', '肝', '肺脓肿']"
I10A06600,A06.600+,阿米巴脑脓肿,"['阿米巴', '脑', '脓肿']"
I10A06700,A06.700,皮肤阿米巴病,"['皮肤', '阿米巴病']"
I10A06800,A06.800,特指部位阿米巴感染,"['特指', '部位', '阿米巴', '感染']"
I10A06801,A06.801,眼阿米巴病,"['眼', '阿米巴病']"
I10A06900,A06.900,阿米巴病,['阿米巴病']
I10A07000,A07.000,小袋纤毛虫病,"['小袋', '纤毛虫']"
I10A07100,A07.100,贾第虫病,['贾第虫']
I10A07200,A07.200,隐孢子虫病,"['隐', '孢子', '虫病']"
I10A07300,A07.300,等孢球虫病,"['等', '孢', '球虫病']"
I10A07800,A07.800,特指原虫性肠道疾病,"['特指', '原虫', '肠道', '疾病']"
I10A07801,A07.801,肠道滴虫病,"['肠道', '滴虫病']"
I10A07900,A07.900,原虫性肠道疾病,"['原虫', '肠道', '疾病']"
I10A08000,A08.000,轮状病毒肠炎,"['轮状病毒', '肠炎']"
I10A08100,A08.100,诺沃克组病毒引起急性胃肠病,"['诺', '沃克组', '病毒', '引起', '急性', '胃肠病']"
I10A08101,A08.101,诺如病毒引起急性胃肠病,"['诺如', '病毒', '引起', '急性', '胃肠病']"
I10A08200,A08.200,腺病毒肠炎,"['腺病毒', '肠炎']"
I10A08300,A08.300,特指病毒性肠炎,"['特指', '病毒性', '肠炎']"
I10A08301,A08.301,EB病毒性肠炎,"['EB', '病毒性', '肠炎']"
I10A08400,A08.400,病毒性肠道感染,"['病毒性', '肠道', '感染']"
I10A08401,A08.401,病毒性肠炎,"['病毒性', '肠炎']"
I10A08402,A08.402,病毒性胃肠炎,"['病毒性', '胃肠炎']"
I10A08500,A08.500,特指肠道感染,"['特指', '肠道', '感染']"
I10A09000,A09.000,特指感染性胃肠炎和结肠炎,"['特指', '感染性', '胃肠炎', '结肠炎']"
I10A09001,A09.001,感染性胃肠炎,"['感染性', '胃肠炎']"
I10A09002,A09.002,感染性结肠炎,"['感染性', '结肠炎']"
I10A09003,A09.003,痢疾,['痢疾']
I10A09004,A09.004,感染性腹泻,"['感染性', '腹泻']"
I10A09005,A09.005,脓毒性肠炎,"['脓', '毒性', '肠炎']"
I10A09006,A09.006,急性出血性肠炎,"['急性', '出血性', '肠炎']"
I10A09900,A09.900,胃肠炎和结肠炎,"['胃肠炎', '结肠炎']"
I10A09901,A09.901,胃肠炎,['胃肠炎']
I10A09902,A09.902,结肠炎,['结肠炎']
